"*metacsv_format_file*"
"dataset_name",""
"source_file_name",""
"project_name",""
"description",""
"keywords",""
"data_source",""
"r_script_source",""
"file_creation_date",""
"last_modified_date",""
"version_number",""
"version_history",""
"editor_name_history",""
"data_collection_start_date",""
"data_collection_end_date",""
"data_collection_location",""
"data_entered_by",""
"data_contributor",""
"data_owner",""
"data_point_of_contact",""
"archive_link",""
"how_to_cite",""
"acknowledgements",""
"***"
"variable_name","variable_long_name","units","description","data_type","format","missing_value_indicator","instrument","variable_min","variable_max"
"Date","","","","","","","","",""
"Initials","","","","","","","","",""
"Moats","","","","","","","","",""
"Fed","","","","","","","","",""
"Algae/EZ larva","","","","","","","","",""
"Artemia","","","","","","","","",""
"Artemia Counts (Avg/mL)","","","","","","","","",""
"Cleaned","","","","","","","","",""
"Morts","","","","","","","","",""
"Survival rate","","","","","","","","",""
"Overall survival rate","","","","","","","","",""
"Molts","","","","","","","","",""
"Estimated live","","","","","","","","",""
"Estimated survival","","","","","","","","",""
"Notes","","","","","","","","",""
"DateOfPresPOSIX","","","","","","","","",""
"Day","","","","","","","","",""
"###"
"Date","Initials","Moats","Fed","Algae/EZ larva","Artemia","Artemia Counts (Avg/mL)","Cleaned","Morts","Survival rate","Overall survival rate","Molts","Estimated live","Estimated survival","Notes","DateOfPresPOSIX","Day"
2019-09-12,"KR",1,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",3,0.964705882352941,0.964705882352941,"x",NA,NA,NA,2019-09-12,0
2019-09-12,"KR",2,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",4,0.952941176470588,0.952941176470588,"x",NA,NA,NA,2019-09-12,0
2019-09-12,"KR",3,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",6,0.925,0.925,"x",NA,NA,NA,2019-09-12,0
2019-09-12,"KR",4,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",9,0.8875,0.8875,"x",NA,NA,NA,2019-09-12,0
2019-09-12,"KR",5,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",2,0.975,0.975,"x",NA,NA,NA,2019-09-12,0
2019-09-12,"KR",6,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",7,0.9125,0.9125,"x",NA,NA,NA,2019-09-12,0
2019-09-12,"KR",7,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",4,0.95,0.95,"x",NA,NA,NA,2019-09-12,0
2019-09-12,"KR",8,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",9,0.8875,0.8875,"x",NA,NA,NA,2019-09-12,0
2019-09-12,"KR",10,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",2,0.975,0.975,"x",NA,NA,NA,2019-09-12,0
2019-09-12,"KR",11,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",5,0.9375,0.9375,"x",NA,NA,NA,2019-09-12,0
2019-09-12,"KR",12,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",9,0.8875,0.8875,"x",NA,NA,NA,2019-09-12,0
2019-09-12,"KR",13,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",3,0.9625,0.9625,"x",NA,NA,NA,2019-09-12,0
2019-09-16,"DP",1,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",13,0.847058823529412,0.847058823529412,"x",NA,NA,NA,2019-09-12,4
2019-09-16,"DP",2,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",18,0.788235294117647,0.788235294117647,"x",NA,NA,NA,2019-09-12,4
2019-09-16,"DP",3,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",17,0.7875,0.7875,"x",NA,NA,NA,2019-09-12,4
2019-09-16,"DP",4,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",8,0.9,0.9,"x",NA,NA,NA,2019-09-12,4
2019-09-16,"DP",5,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",2,0.975,0.975,"x",NA,NA,NA,2019-09-12,4
2019-09-16,"DP",6,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",13,0.8375,0.8375,"x",NA,NA,NA,2019-09-12,4
2019-09-16,"DP",7,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",6,0.925,0.925,"x",NA,NA,NA,2019-09-12,4
2019-09-16,"DP",8,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",12,0.85,0.85,"x",NA,NA,NA,2019-09-12,4
2019-09-16,"DP",10,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",3,0.9625,0.9625,"x",NA,NA,NA,2019-09-12,4
2019-09-16,"DP",11,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",7,0.9125,0.9125,"x",NA,NA,NA,2019-09-12,4
2019-09-16,"DP",12,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",10,0.875,0.875,"x",NA,NA,NA,2019-09-12,4
2019-09-16,"DP",13,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",11,0.8625,0.8625,"x",NA,NA,NA,2019-09-12,4
2019-09-19,"DP",1,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",7,0.917647058823529,0.917647058823529,"x",NA,NA,NA,2019-09-12,7
2019-09-19,"DP",2,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",9,0.894117647058824,0.894117647058824,"x",NA,NA,NA,2019-09-12,7
2019-09-19,"DP",3,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",10,0.875,0.875,"x",NA,NA,NA,2019-09-12,7
2019-09-19,"DP",4,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",7,0.9125,0.9125,"x",NA,NA,NA,2019-09-12,7
2019-09-19,"DP",5,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",7,0.9125,0.9125,"x",NA,NA,NA,2019-09-12,7
2019-09-19,"DP",6,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",8,0.9,0.9,"x",NA,NA,NA,2019-09-12,7
2019-09-19,"DP",7,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",10,0.875,0.875,"x",NA,NA,NA,2019-09-12,7
2019-09-19,"DP",8,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",8,0.9,0.9,"x",NA,NA,NA,2019-09-12,7
2019-09-19,"DP",10,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",6,0.925,0.925,"x",NA,NA,NA,2019-09-12,7
2019-09-19,"DP",11,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",3,0.9625,0.9625,"x",NA,NA,NA,2019-09-12,7
2019-09-19,"DP",12,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",5,0.9375,0.9375,"x",NA,NA,NA,2019-09-12,7
2019-09-19,"DP",13,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",7,0.9125,0.9125,"x",NA,NA,NA,2019-09-12,7
2019-09-23,"DP/KR",1,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",4,0.952941176470588,0.952941176470588,"x",NA,NA,NA,2019-09-12,11
2019-09-23,"DP/KR",2,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",2,0.976470588235294,0.976470588235294,"x",NA,NA,NA,2019-09-12,11
2019-09-23,"DP/KR",3,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",7,0.9125,0.9125,"x",NA,NA,NA,2019-09-12,11
2019-09-23,"DP/KR",4,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",1,0.9875,0.9875,"x",NA,NA,NA,2019-09-12,11
2019-09-23,"DP/KR",5,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",3,0.9625,0.9625,"x",NA,NA,NA,2019-09-12,11
2019-09-23,"DP/KR",6,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",12,0.85,0.85,"x",NA,NA,NA,2019-09-12,11
2019-09-23,"DP/KR",7,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",6,0.925,0.925,"x",NA,NA,NA,2019-09-12,11
2019-09-23,"DP/KR",8,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",8,0.9,0.9,"x",NA,NA,NA,2019-09-12,11
2019-09-23,"DP/KR",10,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",4,0.95,0.95,"x",NA,NA,NA,2019-09-12,11
2019-09-23,"DP/KR",11,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",8,0.9,0.9,"x",NA,NA,NA,2019-09-12,11
2019-09-23,"DP/KR",12,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",9,0.8875,0.8875,"x",NA,NA,NA,2019-09-12,11
2019-09-23,"DP/KR",13,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",8,0.9,0.9,"x",NA,NA,NA,2019-09-12,11
2019-09-26,"DP/KR",1,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",7,0.917647058823529,0.917647058823529,"x",NA,NA,NA,2019-09-12,14
2019-09-26,"DP/KR",2,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",10,0.882352941176471,0.882352941176471,"x",NA,NA,NA,2019-09-12,14
2019-09-26,"DP/KR",3,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",3,0.9625,0.9625,"x",NA,NA,NA,2019-09-12,14
2019-09-26,"DP/KR",4,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",2,0.975,0.975,"x",NA,NA,NA,2019-09-12,14
2019-09-26,"DP/KR",5,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",6,0.925,0.925,"x",NA,NA,NA,2019-09-12,14
2019-09-26,"DP/KR",6,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",0,1,1,"x",NA,NA,NA,2019-09-12,14
2019-09-26,"DP/KR",7,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",1,0.9875,0.9875,"x",NA,NA,NA,2019-09-12,14
2019-09-26,"DP/KR",8,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",4,0.95,0.95,"x",NA,NA,NA,2019-09-12,14
2019-09-26,"DP/KR",10,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",1,0.9875,0.9875,"x",NA,NA,NA,2019-09-12,14
2019-09-26,"DP/KR",11,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",4,0.95,0.95,"x",NA,NA,NA,2019-09-12,14
2019-09-26,"DP/KR",12,"x","5.25mL IA, 5 mL EZL",NA,NA,"x",2,0.975,0.975,"x",NA,NA,NA,2019-09-12,14
